JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
,,Diferencia (2023-2025):,-34720.78000000001,,,,,,2026-Julio.Septiembre,118,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-21152.95000000001,,,,,,2026-Julio.Septiembre,119,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-66275.95999999999,,,,,,2026-Julio.Septiembre,120,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,121,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,122,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,123,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE AGOSTO  (MICE + F & B),,,,,,,,,2026-Julio.Septiembre,124,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,125,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Julio.Septiembre,126,2026-01-12T10:12:30.821139
SALAS,,958.68,450.41,1490.91,0,615.7,,,2026-Julio.Septiembre,127,2026-01-12T10:12:30.821139
AUDIOS,,0,0,0,0,0,,,2026-Julio.Septiembre,128,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,27473.18,11637.73,16523.35,16077.89,0,,,2026-Julio.Septiembre,129,2026-01-12T10:12:30.821139
BANQUETES,,2052.73,3923.64,0,3675.45,0,,,2026-Julio.Septiembre,130,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,1330.91,2886.32,4489.42,1670.52,640.82,,,2026-Julio.Septiembre,131,2026-01-12T10:12:30.821139
COFFEE-BREAK,,0,86.36,172.73,44.55,0,,,2026-Julio.Septiembre,132,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3481.19,1845.46,1551.45,1403.17,1217.98,,,2026-Julio.Septiembre,133,2026-01-12T10:12:30.821139
DESAYUNO,,42871.01,51323.24,49258.15,54425.61,51895.48,,,2026-Julio.Septiembre,134,2026-01-12T10:12:30.821139
MINIBAR,,1402.27,2088.64,2217.27,1987.27,1901.61,,,2026-Julio.Septiembre,135,2026-01-12T10:12:30.821139
BAR,,5269.55,1973.55,2284.4,1775.77,6649.92,,,2026-Julio.Septiembre,136,2026-01-12T10:12:30.821139
,,,, ,,,,,2026-Julio.Septiembre,137,2026-01-12T10:12:30.821139
,TOTAL,84839.52000000002,76215.35,77987.68000000001,81060.23000000001,62921.51,,,2026-Julio.Septiembre,138,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,139,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-21918.010000000017,,,,,,2026-Julio.Septiembre,140,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-13293.840000000004,,,,,,2026-Julio.Septiembre,141,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-15066.170000000006,,,,,,2026-Julio.Septiembre,142,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-18138.72000000001,,,,,,2026-Julio.Septiembre,143,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-62921.51,,,,,,2026-Julio.Septiembre,144,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,145,2026-01-12T10:12:30.821139
