ENERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
,,Diferencia (2023-2025):,7455.220000000001,,,,,,,2025-ENERO.MARZO,115,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-22507.439999999988,,,,,,,2025-ENERO.MARZO,116,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,117,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,118,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,119,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,120,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,121,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,122,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,123,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE FEBRERO (MICE + F & B),,,,,,,,,,2025-ENERO.MARZO,124,2026-01-12T10:12:30.821139
,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-ENERO.MARZO,125,2026-01-12T10:12:30.821139
,2019,2022,2023,2024,2025,,MES DE FEBRERO,,,2025-ENERO.MARZO,126,2026-01-12T10:12:30.821139
SALAS,4438.02,764.46,4534.71,6075.62,5207.85,,,,,2025-ENERO.MARZO,127,2026-01-12T10:12:30.821139
AUDIOS,0,0,409.09,330.58,694.21,Ejercicio    2019,173407.25,,,2025-ENERO.MARZO,128,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,18353.64,0,10614.79,13223.43,270.73,Ejercicio    2020,150289.41,,,2025-ENERO.MARZO,129,2026-01-12T10:12:30.821139
BANQUETES,0,480,4342.73,8880.91,2350.82,Ejercicio    2021,0,,,2025-ENERO.MARZO,130,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,8560.91,5102.8,952.25,1831.82,8754.96,Ejercicio    2022,125715.38,,,2025-ENERO.MARZO,131,2026-01-12T10:12:30.821139
COFFEE-BREAK,1546.36,140.91,412.5,2142.73,719.27,Ejercicio    2023,129074.76,,,2025-ENERO.MARZO,132,2026-01-12T10:12:30.821139
ROOM-SERVICE,5378.93,1857.59,1532.1,2541.31,713.42,Ejercicio    2024,177885.87,,,2025-ENERO.MARZO,133,2026-01-12T10:12:30.821139
DESAYUNO,30412.04,19818.47,29132.94,37914.67,33138.9,Ejercicio    2025,232363.7,,,2025-ENERO.MARZO,134,2026-01-12T10:12:30.821139
MINIBAR,1770.45,1117.27,1511.36,2041.5,1789.09,,,Diferencia (2019-2025):,58956.45000000001,2025-ENERO.MARZO,135,2026-01-12T10:12:30.821139
BAR,2624.27,1100.18,1766.32,1642.98,5638.71,,,Diferencia (2020-2025):,82074.29000000001,2025-ENERO.MARZO,136,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2021-2025):,232363.7,2025-ENERO.MARZO,137,2026-01-12T10:12:30.821139
TOTAL,73084.62,30381.680000000004,55208.79,76625.55,59277.96,,,Diferencia (2022-2025):,106648.32,2025-ENERO.MARZO,138,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2023-2025):,103288.94000000002,2025-ENERO.MARZO,139,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-13806.659999999996,,,,,Diferencia (2024-2025):,54477.830000000016,2025-ENERO.MARZO,140,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,28896.279999999995,,,,,,,2025-ENERO.MARZO,141,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,4069.1699999999983,,,,,,,2025-ENERO.MARZO,142,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-17347.590000000004,,,,,,,2025-ENERO.MARZO,143,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,144,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,145,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,146,2026-01-12T10:12:30.821139
