Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,_sheet,_row_number,_imported_at
PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,ALOJAMIENTO COMP. 2026,59,2026-01-12T10:12:30.821139
,MES DE JULIO,,,,MES DE AGOSTO,,,,MES DE SEPTIEMBRE,,,ALOJAMIENTO COMP. 2026,60,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,61,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,62,2026-01-12T10:12:30.821139
Ejercicio    2019,334341.52,,,Ejercicio    2019,384151.59,,,Ejercicio    2019,311327.69,,,ALOJAMIENTO COMP. 2026,63,2026-01-12T10:12:30.821139
Ejercicio    2020,0,,,Ejercicio    2020,301.15,,,Ejercicio    2020,53667.02,,,ALOJAMIENTO COMP. 2026,64,2026-01-12T10:12:30.821139
Ejercicio    2021,207815.56,,,Ejercicio    2021,441672.87,,,Ejercicio    2021,224735.34,,,ALOJAMIENTO COMP. 2026,65,2026-01-12T10:12:30.821139
Ejercicio    2022,405252.7,,,Ejercicio    2022,557254.3,,,Ejercicio    2022,321299.26,,,ALOJAMIENTO COMP. 2026,66,2026-01-12T10:12:30.821139
Ejercicio    2023,440653.14,,,Ejercicio    2023,567146.59,,,Ejercicio    2023,370046.42,,,ALOJAMIENTO COMP. 2026,67,2026-01-12T10:12:30.821139
Ejercicio    2024,455763.23,,,Ejercicio    2024,564930.53,,,Ejercicio    2024,386133.59,,,ALOJAMIENTO COMP. 2026,68,2026-01-12T10:12:30.821139
