OCTUBRE,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
,,Diferencia (2022-2025):,-245.5,,,,,,Diferencia (2024-2025):,73144.10999999999,2025-OCTUBRE.DICIEMBRE,116,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-15683.280000000013,,,,,,,,2025-OCTUBRE.DICIEMBRE,117,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,5013.530000000013,,,,,,,,2025-OCTUBRE.DICIEMBRE,118,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,119,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,120,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE NOVIEMBRE  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-OCTUBRE.DICIEMBRE,121,2026-01-12T10:12:30.821139
,,,,,,,,MES DE NOVIEMBRE,,,2025-OCTUBRE.DICIEMBRE,122,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,,2025-OCTUBRE.DICIEMBRE,123,2026-01-12T10:12:30.821139
SALAS,,3572.73,7689.67,9906.61,7853.31,4430.58,,,,,2025-OCTUBRE.DICIEMBRE,124,2026-01-12T10:12:30.821139
AUDIOS,,123.97,1909.09,2824.96,396.69,371.9,Ejercicio    2019,202994.18,,,2025-OCTUBRE.DICIEMBRE,125,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,13600.91,8921.55,10664.27,4635.35,0,Ejercicio    2020,3322.4,,,2025-OCTUBRE.DICIEMBRE,126,2026-01-12T10:12:30.821139
BANQUETES,,12717.48,7849.55,8392.73,4047.73,8440.91,Ejercicio    2021,215609.83,,,2025-OCTUBRE.DICIEMBRE,127,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,3949.09,7821.65,6788.18,3892.89,8979.93,Ejercicio    2022,273858.66,,,2025-OCTUBRE.DICIEMBRE,128,2026-01-12T10:12:30.821139
COFFEE-BREAK,,2146.2,2460.27,2501.82,1267.27,1257.27,Ejercicio    2023,305965.53,,,2025-OCTUBRE.DICIEMBRE,129,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3481.68,1399.45,1795.31,382.74,2073.95,Ejercicio    2024,253845.66,,,2025-OCTUBRE.DICIEMBRE,130,2026-01-12T10:12:30.821139
DESAYUNO,,29915.92,32823.02,45357.15,31962.89,40952.73,Ejercicio    2025,316199.25,,,2025-OCTUBRE.DICIEMBRE,131,2026-01-12T10:12:30.821139
MINIBAR,,1354.55,1768.18,2097.46,517.5,1748.18,, ,,,2025-OCTUBRE.DICIEMBRE,132,2026-01-12T10:12:30.821139
BAR,,5513.64,1690,2009.89,580.49,5183.5,,,Diferencia (2019-2025):,113205.07,2025-OCTUBRE.DICIEMBRE,133,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2020-2025):,312876.85,2025-OCTUBRE.DICIEMBRE,134,2026-01-12T10:12:30.821139
,TOTAL,76476.17,74332.42999999998,92338.38,55536.86,73438.95,,,Diferencia (2021-2025):,100589.42000000001,2025-OCTUBRE.DICIEMBRE,135,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2022-2025):,42340.590000000026,2025-OCTUBRE.DICIEMBRE,136,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-3037.220000000001,,,,,,Diferencia (2023-2025):,10233.719999999972,2025-OCTUBRE.DICIEMBRE,137,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-893.4799999999814,,,,,,Diferencia (2024-2025):,62353.59,2025-OCTUBRE.DICIEMBRE,138,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-18899.430000000008,,,,,,,,2025-OCTUBRE.DICIEMBRE,139,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,17902.089999999997,,,,,,,,2025-OCTUBRE.DICIEMBRE,140,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,141,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-OCTUBRE.DICIEMBRE,142,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE DICIEMBRE  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-OCTUBRE.DICIEMBRE,143,2026-01-12T10:12:30.821139
,,,,,,,,MES DE DICIEMBRE,,,2025-OCTUBRE.DICIEMBRE,144,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,,2025-OCTUBRE.DICIEMBRE,145,2026-01-12T10:12:30.821139
SALAS,,2801.65,502.48,1095.45,940.5,1037.19,,,,,2025-OCTUBRE.DICIEMBRE,146,2026-01-12T10:12:30.821139
AUDIOS,,289.26,530.58,0,417.36,537.19,Ejercicio    2019,169284.41,,,2025-OCTUBRE.DICIEMBRE,147,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,23059.09,11299.86,11588.84,0,180,Ejercicio    2020,0,,,2025-OCTUBRE.DICIEMBRE,148,2026-01-12T10:12:30.821139
BANQUETES,,19868,27997.27,21910,28771.82,25082.73,Ejercicio    2021,161058.08,,,2025-OCTUBRE.DICIEMBRE,149,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,238.99,1827.82,3992.43,3942,3642.13,Ejercicio    2022,159918.95,,,2025-OCTUBRE.DICIEMBRE,150,2026-01-12T10:12:30.821139
COFFEE-BREAK,,691.04,231.82,225.45,767.95,180,Ejercicio    2023,194266.19,,,2025-OCTUBRE.DICIEMBRE,151,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3104.29,1776.79,1390.46,1628.3,1804.99,Ejercicio    2024,227553.7,,,2025-OCTUBRE.DICIEMBRE,152,2026-01-12T10:12:30.821139
DESAYUNO,,25915.04,27635.73,42065.25,33876.7,30888.32,Ejercicio    2025,242041.98,,,2025-OCTUBRE.DICIEMBRE,153,2026-01-12T10:12:30.821139
MINIBAR,,1720.45,1436.36,1873.63,1775.45,950.36,,,,,2025-OCTUBRE.DICIEMBRE,154,2026-01-12T10:12:30.821139
BAR,,7216.52,1660.45,2285.39,2458.14,5911.42,,,Diferencia (2019-2025):,72757.57,2025-OCTUBRE.DICIEMBRE,155,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2020-2025):,242041.98,2025-OCTUBRE.DICIEMBRE,156,2026-01-12T10:12:30.821139
,TOTAL,84904.33,74899.16,86426.90000000001,74578.22,70214.33,,,Diferencia (2021-2025):,80983.90000000002,2025-OCTUBRE.DICIEMBRE,157,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2022-2025):,82123.03,2025-OCTUBRE.DICIEMBRE,158,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-14690,,,,,,Diferencia (2023-2025):,47775.79000000001,2025-OCTUBRE.DICIEMBRE,159,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-4684.830000000002,,,,,,Diferencia (2024-2025):,14488.279999999999,2025-OCTUBRE.DICIEMBRE,160,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-16212.570000000007,,,,,,,,2025-OCTUBRE.DICIEMBRE,161,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-4363.889999999999,,,,,,,,2025-OCTUBRE.DICIEMBRE,162,2026-01-12T10:12:30.821139
