ABRIL,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
20,"REUNIÓN SR. BARRAN                ""U"" 6 PAX + COFFEE",,COOPERVISION                 FORMACION 15 PAX,COOPERVISION                              COCKTAIL 15 PAX,,,,,,,2025-ABRIL.JUNIO,52,2026-01-12T10:12:30.821139
21,,,,COFFEE-BREAK MAÑANA Y COCKTAIL COMIDA GENERAL OPTICA/KEYTEL,"GENERAL OPTICA/KEYTEL                                       MESA  ""U"" 12 PAX + AUDIOS",,,,,,2025-ABRIL.JUNIO,53,2026-01-12T10:12:30.821139
22,,,"PALEX/""ESCUELA"" 30 PAX",COCKTAIL COMIDA                                        CORAL DIPUTACION 50 PAX,COCKTAIL CENA RAMYCGA 20 PAX,COCKTAIL CENA PALEX/30 PAX,,,,,2025-ABRIL.JUNIO,54,2026-01-12T10:12:30.821139
23,,CASTING CONCHI IGLESIAS,,,COMIDA MENU                                        CONGRESO AFUNDACION  35 pax,,,,,,2025-ABRIL.JUNIO,55,2026-01-12T10:12:30.821139
24,UEM,,,,,,,,,,2025-ABRIL.JUNIO,56,2026-01-12T10:12:30.821139
25,,,,,,,,,,,2025-ABRIL.JUNIO,57,2026-01-12T10:12:30.821139
26,CINEMA S8,,,,,,,,,,2025-ABRIL.JUNIO,58,2026-01-12T10:12:30.821139
27,CINEMA S8,CASTING CONCHI IGLESIAS,,,,,,,,,2025-ABRIL.JUNIO,59,2026-01-12T10:12:30.821139
28,CINEMA S8,,PP-DESAYUNO TRABAJO IMPERIAL 25/30 PAX,,,,,,,,2025-ABRIL.JUNIO,60,2026-01-12T10:12:30.821139
29,CINEMA S8,,,,,,,,,,2025-ABRIL.JUNIO,61,2026-01-12T10:12:30.821139
30,CINEMA S8,CASTING CONCHI IGLESIAS,,,,,,,,,2025-ABRIL.JUNIO,62,2026-01-12T10:12:30.821139
31,CINEMA S8,,,"FEDERACION PROV. APAS/66 PAX ""ESCUELA"" + AUDIOS HOTEL","FEDERACION PROV. APAS/66 PAX                        ""ESCUELA"" + AUDIOS HOTEL",COFFEE-BREAK MAÑANA                                     FEDER. PROV. APAS  (66 PAX),GPO. HOTUSA/ PC/ 36 PAX                CENA GPO. CASA GALICIA/41 PAX,,,,2025-ABRIL.JUNIO,63,2026-01-12T10:12:30.821139
JUNIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,,,2025-ABRIL.JUNIO,64,2026-01-12T10:12:30.821139
1,CINEMA S8,,,,,,,,,,2025-ABRIL.JUNIO,65,2026-01-12T10:12:30.821139
2,CINEMA S8,,,,,,,,,,2025-ABRIL.JUNIO,66,2026-01-12T10:12:30.821139
3,CINEMA S8,,,,,,,,,,2025-ABRIL.JUNIO,67,2026-01-12T10:12:30.821139
4,CINEMA S8,,,FORMACION HOTUSA/11'30 HRS.,,,,,,,2025-ABRIL.JUNIO,68,2026-01-12T10:12:30.821139
5,CINEMA S8,CASTING CONCHI IGLESIAS,,,,,,,,,2025-ABRIL.JUNIO,69,2026-01-12T10:12:30.821139
6,CINEMA S8,CASTING CONCHI IGLESIAS,FEDERACION ATLETISMO/Organización ,,FED. ATLETISMO/ANTIDOPING,,CENA FED. GALEGA ATLETISMO/                   145 PAX CENA BUFFET DEPORT.,,,,2025-ABRIL.JUNIO,70,2026-01-12T10:12:30.821139
7,CINEMA S8,CASTING CONCHI IGLESIAS,FEDERACION ATLETISMO/Organización ,,FED. ATLETISMO/ANTIDOPING,,FED. GALEGA ATLETISMO/                       150 PAX   BUFFET COMIDA Y CENA,,,,2025-ABRIL.JUNIO,71,2026-01-12T10:12:30.821139
8,CINEMA S8,,,,,,,,,,2025-ABRIL.JUNIO,72,2026-01-12T10:12:30.821139
9,CINEMA S8/SALIDA,EUROSTARS HOTEL COMPANY,,,MONTAJE XTI,,,,,,2025-ABRIL.JUNIO,73,2026-01-12T10:12:30.821139
10,,,,,XTI-EXPOSICION CALZADO,,,,,,2025-ABRIL.JUNIO,74,2026-01-12T10:12:30.821139
11,,,,,,,,,,,2025-ABRIL.JUNIO,75,2026-01-12T10:12:30.821139
12,,ENTREVISTAS VIATRIS,,MFAR-JUNTA DIRECTIVA,,,,,,,2025-ABRIL.JUNIO,76,2026-01-12T10:12:30.821139
13,,,UEM/25 PAX,RAMYCGA-70 PAX-SR. ARTURO GLEZ.,COCKTAIL RAMYCGA-70 PAX-SR. ARTURO GLEZ.,,,,,,2025-ABRIL.JUNIO,77,2026-01-12T10:12:30.821139
14,,,UEM/50 PAX,UEM/50 PAX,"BMS-GEM/""U"" 14 PAX+AUDIOS Y COFFEE",, GPO.  HOTUSA/18 PAX - PC                   COMIDA Y CENA GPO.,COCKTAIL ROCHE/50 PAX,,,2025-ABRIL.JUNIO,78,2026-01-12T10:12:30.821139
15,,,UEM/50 PAX,UEM/50 PAX,,,,,,,2025-ABRIL.JUNIO,79,2026-01-12T10:12:30.821139
16,,,,,,,,,,,2025-ABRIL.JUNIO,80,2026-01-12T10:12:30.821139
17,BLOQUEO TECHO,EUROSTARS HOTEL COMPANY,,,"ENDESA / 40 PAX ""ESCUELA"" + AUDIOS",COFFEE-BREAK ENDESA 35 PAX,,,,,2025-ABRIL.JUNIO,81,2026-01-12T10:12:30.821139
18,BLOQUEO TECHO,CASTING CONCHI IGLESIAS,,,,,,,,,2025-ABRIL.JUNIO,82,2026-01-12T10:12:30.821139
19,BLOQUEO TECHO,CASTING CONCHI IGLESIAS,,,,,,,,,2025-ABRIL.JUNIO,83,2026-01-12T10:12:30.821139
20,BLOQUEO TECHO,,"BNG ""TEATRO"" 40 PAX+PRESIDENCIA",,,,    ,,,,2025-ABRIL.JUNIO,84,2026-01-12T10:12:30.821139
21,,,,,,,GPO. HOTUSA EXTRACUPO/PC-31 PAX,,,,2025-ABRIL.JUNIO,85,2026-01-12T10:12:30.821139
22,,,,,,,FC ANDORRA  - DESAYUNO 47 PAX.                            GPO. HOTUSA EXTRACUPO/MP CENA-31 PAX,,,,2025-ABRIL.JUNIO,86,2026-01-12T10:12:30.821139
23,,,,,,,,,,,2025-ABRIL.JUNIO,87,2026-01-12T10:12:30.821139
24,,,,PROFIRST,,,FESTIVO LOCAL SAN JUAN,,,,2025-ABRIL.JUNIO,88,2026-01-12T10:12:30.821139
25,,,,PROFIRST,,,,CLUB DE LECTURA/PICOTEO,,,2025-ABRIL.JUNIO,89,2026-01-12T10:12:30.821139
26,,"JOHNSON & JOHNSON/""U"" 15 PAX",,PROFIRST,,COCKTAIL JOHNSON & JOHNSON,EVOMED CENA BANQUETE 31 PAX,,,,2025-ABRIL.JUNIO,90,2026-01-12T10:12:30.821139
27,,,,,"COMIDA SERGAS JUBILACION ""IMPERIAL"" 23 PAX",,,,,,2025-ABRIL.JUNIO,91,2026-01-12T10:12:30.821139
28,UEM,,,,,,,,,,2025-ABRIL.JUNIO,92,2026-01-12T10:12:30.821139
29,,,,,,,,,,,2025-ABRIL.JUNIO,93,2026-01-12T10:12:30.821139
30,,EUROSTARS HOTEL COMPANY,,,,,,,,,2025-ABRIL.JUNIO,94,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,95,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,96,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,97,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE ABRIL  (MICE + F & B),,,,,,,,,,,2025-ABRIL.JUNIO,98,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,99,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-ABRIL.JUNIO,100,2026-01-12T10:12:30.821139
SALAS,,4623.96,2619.83,1062.81,1182.85,2821.07,,MES DE ABRIL,,,2025-ABRIL.JUNIO,101,2026-01-12T10:12:30.821139
AUDIOS,,0,7285.04,61.98,134.5,640.5,,,,,2025-ABRIL.JUNIO,102,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,17660,9163.18,13277.09,11668.97,0,,,,,2025-ABRIL.JUNIO,103,2026-01-12T10:12:30.821139
BANQUETES,,9890.66,2564.18,8209.64,5508.55,3736.36,Ejercicio    2019,207374.61,,,2025-ABRIL.JUNIO,104,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,3176.187,6826.64,8869.15,9330.71,1791.82,Ejercicio    2020,-139.02,,,2025-ABRIL.JUNIO,105,2026-01-12T10:12:30.821139
COFFEE-BREAK,,2151.96,2066.07,499.09,736.27,1351.36,Ejercicio    2021,-88.69,,,2025-ABRIL.JUNIO,106,2026-01-12T10:12:30.821139
ROOM-SERVICE,,4712.76,1387.4,1060.56,1919.18,1304.1,Ejercicio    2022,230810.3,,,2025-ABRIL.JUNIO,107,2026-01-12T10:12:30.821139
DESAYUNO,,33642.18,31077.16,51339.45,38492.28,36162.83,Ejercicio    2023,258008.25,,,2025-ABRIL.JUNIO,108,2026-01-12T10:12:30.821139
MINIBAR,,1647.73,1509.09,1778.64,1958.37,1928.01,Ejercicio    2024,212919.29,,,2025-ABRIL.JUNIO,109,2026-01-12T10:12:30.821139
BAR,,4353.19,1760,2064.91,3081.87,7386.99,Ejercicio    2025,306233.04,,,2025-ABRIL.JUNIO,110,2026-01-12T10:12:30.821139
,,,,,  ,,,,,,2025-ABRIL.JUNIO,111,2026-01-12T10:12:30.821139
,TOTAL,81858.62,66258.59,88223.31999999999,74013.54999999999,57123.04,,,Diferencia (2019-2025):,98858.43,2025-ABRIL.JUNIO,112,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2020-2025):,306372.06,2025-ABRIL.JUNIO,113,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-24735.579999999994,,,,,,Diferencia (2021-2025):,306321.73,2025-ABRIL.JUNIO,114,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-9135.549999999996,,,,,,Diferencia (2022-2025):,75422.73999999999,2025-ABRIL.JUNIO,115,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-31100.27999999999,,,,,,Diferencia (2023-2025):,48224.78999999998,2025-ABRIL.JUNIO,116,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-16890.509999999987,,,,,,Diferencia (2024-2025):,93313.74999999997,2025-ABRIL.JUNIO,117,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,118,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,119,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE MAYO  (MICE + F & B),,,,,,,,,,,2025-ABRIL.JUNIO,120,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,121,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-ABRIL.JUNIO,122,2026-01-12T10:12:30.821139
SALAS,,2994.11,3648.76,3041.32,5208.68,3697.73,,MES DE MAYO,,,2025-ABRIL.JUNIO,123,2026-01-12T10:12:30.821139
AUDIOS,,429.75,2891.16,0,247.93,1227.48,,,,,2025-ABRIL.JUNIO,124,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,18839.09,10209.55,14425.91,13882.35,371.09,,,,,2025-ABRIL.JUNIO,125,2026-01-12T10:12:30.821139
BANQUETES,,12942.73,5320.91,11200,9669.32,11430.23,Ejercicio    2019,250953,,,2025-ABRIL.JUNIO,126,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,4396.5,11407.08,6954.12,19412.37,6861.64,Ejercicio    2020,-86.82,,,2025-ABRIL.JUNIO,127,2026-01-12T10:12:30.821139
COFFEE-BREAK,,898.55,1015,6548.18,3437.27,2354.73,Ejercicio    2021,25315.87,,,2025-ABRIL.JUNIO,128,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3867.83,1349.75,1406.67,1276.87,921.88,Ejercicio    2022,211881.72,,,2025-ABRIL.JUNIO,129,2026-01-12T10:12:30.821139
DESAYUNO,,36730.08,32027.09,51088.37,52993.44,42038.51,Ejercicio    2023,311334.7,,,2025-ABRIL.JUNIO,130,2026-01-12T10:12:30.821139
MINIBAR,,1545.45,1462.73,1904.55,2048.56,1735.91,Ejercicio    2024,434379.94,,,2025-ABRIL.JUNIO,131,2026-01-12T10:12:30.821139
BAR,,4139.55,2003.23,3559.09,3149.36,5214.5,Ejercicio    2025,378689.85,,,2025-ABRIL.JUNIO,132,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,133,2026-01-12T10:12:30.821139
,TOTAL,86783.64,71335.26,100128.21,111326.15,75853.70000000001,,,Diferencia (2019-2025):,127736.84999999998,2025-ABRIL.JUNIO,134,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2020-2025):,378776.67,2025-ABRIL.JUNIO,135,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-10929.939999999988,,,,,,Diferencia (2021-2025):,353373.98,2025-ABRIL.JUNIO,136,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,4518.440000000017,,,,,,Diferencia (2022-2025):,166808.12999999998,2025-ABRIL.JUNIO,137,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-24274.509999999995,,,,,,Diferencia (2023-2025):,67355.14999999997,2025-ABRIL.JUNIO,138,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-35472.44999999998,,,,,,Diferencia (2024-2025):,-55690.090000000026,2025-ABRIL.JUNIO,139,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,140,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,141,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,142,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE JUNIO  (MICE + F & B),,,,,,,,,,,2025-ABRIL.JUNIO,143,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,144,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-ABRIL.JUNIO,145,2026-01-12T10:12:30.821139
